sentiment,Content
33.333333333333336,hasil vaksin sinovac
0.0,cibinong vaksin sinovac ktp non domisili
9.090909090909092,kali vaksin sinovac anggur
15.384615384615383,info vaksin sinovac bogor terima kasih bgr
0.0,info vaksin sinovac area tangerang jakarta barat jakbar september
-5.2631578947368425,mundur vaksin sinovac enggak apa sedia mundur
0.0,ditemenin gara gara vaksin sinovac moderna
0.0,vaksin aztrazaneca kro vaksin sinovac bedane opo anjir podo vaksin nggo nyegah covid tetangga serik kabeh pas keluarga bapak entuk vaksin lek sinovac hadeh jian
-4.166666666666667,woelahh vaksin sinovac langsung ubah vaksin pfizer siii gua suntik mana anjggg wkwk
0.0,kesel besok gajadi vaksin sinovac habis ganti vaksin frize
0.0,tf tolong info vaksin sinovac dosis sekitar tegal kota ngendi suwun
-2.1739130434782608,vaksin bagi kawasan zone which sarawak red zone and raja sarawak adakan pilih raya asap sok kena cepat vaksin sarawak beli vaksin sinovac
0.0,vaksinasi covid smk muh wates masyarakat sasar usia senin agustus wib smk muhammadiyah wates jenis vaksin sinovac syarat tentu link
8.333333333333334,contoh negara syarikat pharmaniaga botol vaksin sinovac sentiasa standby vaksin kilang
-2.631578947368421,persis gua pikir alhamdulillah baca tenang sesal vaksin sinovac tinggal dosis pakai jenis
-6.451612903225806,vaksin moderna vaksin sinovac knapa kali habis vaksin moderna tumbang virus lemah kena virus covid lemah
0.0,cah info vaksin sinovac dosis mana
-7.6923076923076925,efek vaksin sinovac deh bawa gua ngantuk mulu yaallah
-9.090909090909092,habis vaksin sinovac tangan kiri linu yaw angkat
0.0,rek info vaksin sinovac moderna pfizer
0.0,info vaksin sinovac dosis nyokap tanggal terima kasih
4.166666666666667,tolong kemarin tanggal agustus istri vaksin sinovac tahap instruksi pulang tanda sertifikasi vaksin karenankan sinyal internet wilayah bagus proses
-4.3478260869565215,coba vaksin sinovac buka kak
1.9230769230769231,definisi rejeki tukar bulan vaksin sinovac tensi banget minum obat rutin rajinin minum obat puskesmas komplek vaksinasi pfizer
0.0,sinovac ringan kemarin daftar astra gagal gara dokter suruh vaksin sinovac
